id_pays,Country,date,Direct investment,Direct investor in direct investment enterprises,Equity and investment fund shares,Financial derivatives (other than reserves) and employee stock options,Other investment,Portfolio investment
8,Ukraine,2008,47081.0,42748.0,5507277.22,669483.79,82655.04,17059.0
8,Ukraine,2009,45390.0,40276.0,5507277.22,669483.79,85145.64,15593.0
8,Ukraine,2010,1406344.76,493922.45,5507277.22,669483.79,1480712.82,2947748.43
8,Ukraine,2011,59035.0,50715.0,5507277.22,669483.79,99697.55,21806.0
8,Ukraine,2012,65276.0,54831.0,5507277.22,669483.79,101345.96,26765.0
8,Ukraine,2013,67204.0,56019.0,5507277.22,669483.79,100110.98,35956.0
8,Ukraine,2014,50218.0,40961.0,5507277.22,669483.79,88681.48,32021.0
8,Ukraine,2015,48694.0,35562.0,5507277.22,669483.79,80648.73,28758.0
8,Ukraine,2016,50426.0,37054.0,5507277.22,669483.79,75298.41,28778.0
8,Ukraine,2017,50459.0,36310.0,5507277.22,669483.79,75876.43,30569.0
8,Ukraine,2018,49829.0,35391.0,5507277.22,669483.79,72723.23,32674.0
8,Ukraine,2019,56810.0,41663.0,5507277.22,669483.79,73195.39,38575.0
8,Ukraine,2020,55142.0,37600.0,5507277.22,3008.0,76014.42,37500.0
8,Ukraine,2021,69926.0,47796.0,5507277.22,2514.0,74524.2,38329.0
8,Ukraine,2022,54691.0,34112.0,5507277.22,691.0,79659.27,35939.0
