id_pays,Country,date,Direct investment,Direct investor in direct investment enterprises,Equity and investment fund shares,Financial derivatives (other than reserves) and employee stock options,Other investment,Portfolio investment,Reserve assets
6,Morocco,2010,1913.98,1853.51,5844615.0,702257.61,3341.06,961.55,23612.5
6,Morocco,2011,2018.57,1893.52,5844615.0,702257.61,4052.92,796.8,20642.05
6,Morocco,2012,2175.35,2014.3,5844615.0,702257.61,3446.8,817.19,17534.89
6,Morocco,2013,1559308.09,632685.1,5844615.0,10.64,1425338.72,759.59,399885.41
6,Morocco,2014,4186.97,3807.82,5844615.0,98.01,5569.69,1207.2,20405.28
6,Morocco,2015,4557.27,3999.55,5844615.0,115.85,5603.7,1462.48,23008.32
6,Morocco,2016,5203.35,4738.97,5844615.0,111.78,5848.21,1761.54,25364.56
6,Morocco,2017,5336.16,4761.44,5844615.0,26.28,8275.81,1313.85,26189.59
6,Morocco,2018,5418.22,4942.36,5844615.0,36.51,7750.24,1161.83,24436.18
6,Morocco,2019,6446.73,5927.14,5844615.0,20.98,8351.42,1184.92,26412.58
6,Morocco,2020,7323.41,6683.52,5844615.0,35.27,10205.54,1422.32,35999.4
6,Morocco,2021,7297.03,6624.28,5844615.0,70.93,9655.78,1314.08,35648.1
6,Morocco,2022,7065.98,6211.22,5844615.0,63.03,10063.76,1089.58,32316.79
7,Saudi Arabia,2005,1559308.09,632685.1,5844615.0,702257.61,1425338.72,2230981.62,399885.41
7,Saudi Arabia,2006,20444.0,632685.1,5844615.0,702257.61,69115.51,98592.47,442664.43
7,Saudi Arabia,2007,22621.2,632685.1,5844615.0,702257.61,81710.88,121536.88,410108.53
7,Saudi Arabia,2008,26528.0,632685.1,5844615.0,702257.61,89763.28,146168.07,445136.65
7,Saudi Arabia,2009,29957.92,632685.1,5844615.0,702257.61,91704.59,158197.34,544014.78
7,Saudi Arabia,2010,34359.47,632685.1,5844615.0,702257.61,77435.15,167531.6,656573.99
7,Saudi Arabia,2011,39302.76,632685.1,5844615.0,702257.61,84705.99,178178.49,725724.83
7,Saudi Arabia,2012,44698.75,632685.1,5844615.0,702257.61,93249.35,198990.49,732353.34
7,Saudi Arabia,2013,63120.51,632685.1,5844615.0,702257.61,111260.91,204160.84,616418.02
7,Saudi Arabia,2014,73972.9,632685.1,5844615.0,702257.61,130166.22,199497.04,535797.17
7,Saudi Arabia,2015,84436.96,632685.1,5844615.0,702257.61,187787.59,217797.29,496423.36
7,Saudi Arabia,2016,104613.05,632685.1,5844615.0,702257.61,214918.19,247589.03,496589.04
7,Saudi Arabia,2017,123904.37,632685.1,5844615.0,702257.61,253220.26,283146.12,499576.16
7,Saudi Arabia,2018,128815.3,632685.1,5844615.0,702257.61,233289.58,332365.91,453641.16
7,Saudi Arabia,2019,153175.21,632685.1,5844615.0,702257.61,260206.85,382073.23,455417.27
7,Saudi Arabia,2020,169343.7,632685.1,5844615.0,702257.61,329034.06,387997.14,459839.87
7,Saudi Arabia,2021,1559308.09,632685.1,5844615.0,702257.61,1425338.72,2230981.62,399885.41
7,Saudi Arabia,2022,1559308.09,632685.1,5844615.0,702257.61,1425338.72,2230981.62,399885.41
8,Ukraine,2005,468.0,219.0,5844615.0,702257.61,22797.0,56.0,19391.01
8,Ukraine,2006,344.0,221.0,5844615.0,702257.61,34360.0,63.0,22256.49
8,Ukraine,2007,6379.0,6256.0,5844615.0,702257.61,51675.0,103.0,32462.82
8,Ukraine,2008,7089.0,6971.0,5844615.0,702257.61,67915.0,49.0,31542.64
8,Ukraine,2009,5906.0,5783.0,5844615.0,702257.61,78667.0,79.0,26504.61
8,Ukraine,2010,1559308.09,632685.1,5844615.0,702257.61,1425338.72,94.0,399885.41
8,Ukraine,2011,6960.0,6456.0,5844615.0,702257.61,99840.0,108.0,31794.94
8,Ukraine,2012,7867.0,7589.0,5844615.0,702257.61,109627.0,173.0,24546.22
8,Ukraine,2013,7998.0,7703.0,5844615.0,702257.61,107800.0,176.0,20415.98
8,Ukraine,2014,7967.0,7456.0,5844615.0,702257.61,105242.0,188.0,7532.77
8,Ukraine,2015,3265.0,2793.0,5844615.0,702257.61,103311.0,173.0,13299.85
8,Ukraine,2016,3261.0,2660.0,5844615.0,702257.61,100703.0,96.0,15538.88
8,Ukraine,2017,3438.0,2627.0,5844615.0,702257.61,102284.0,98.0,18808.8
8,Ukraine,2018,3524.0,2600.0,5844615.0,702257.61,104315.0,129.0,20819.87
8,Ukraine,2019,4343.0,3417.0,5844615.0,702257.61,110662.0,546.0,25302.2
8,Ukraine,2020,3958.0,2755.0,5844615.0,702257.61,115968.0,703.0,29132.87
8,Ukraine,2021,3885.0,2260.0,5844615.0,702257.61,123657.0,616.0,30940.96
8,Ukraine,2022,2837.0,1680.0,5844615.0,702257.61,135562.0,1281.0,28494.54
